contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes
56,4,30,6,10,68,4,3,0.310630372,3,6,351,6.058974227,12.51036395
57,4,30,10,4,5,4,2,1.242521488,2,4,352,17.67521544,28.66015987
45,4,30,9,6,81,5,4,-0.960768923,8,12,353,3.410548635,8.967100401
47,4,30,7,9,82,5,4,-0.960768923,8,12,354,4.026148271,10.58565047
48,4,30,9,5,102,5,3,-0.160128154,5,8,355,8.28514846,17.1068928
49,4,30,10,1,41,5,1,1.441153384,1,2,356,27.70963906,35.2848126
50,4,30,10,3,22,5,3,-0.160128154,5,8,357,21.47154182,44.33370941
52,4,30,8,7,52,5,2,0.640512615,3,5,358,10.69180108,17.33663328
53,4,30,8,8,87,5,3,-0.160128154,5,8,359,5.506884152,11.37042713
54,4,30,10,2,53,5,1,1.441153384,1,2,360,20.38301641,25.955261
56,4,30,6,10,68,5,5,-1.761409692,10,15,361,1.13950203,3.815046491
57,4,30,10,4,5,5,2,0.640512615,3,5,362,15.10424044,24.49135329
45,4,30,9,6,81,6,3,0.559016994,3,6,363,5.217646608,10.77321929
47,4,30,7,9,82,6,6,-1.453444185,9,15,364,1.09093276,4.650928485
48,4,30,9,5,102,6,5,-0.782623792,6,11,365,4.382732011,14.67336253
49,4,30,10,1,41,6,5,-0.782623792,6,11,366,5.831945963,19.52532282
50,4,30,10,3,22,6,4,-0.111803399,5,9,367,14.29760199,37.59161538
52,4,30,8,7,52,6,3,0.559016994,3,6,368,7.849550132,16.20748419
53,4,30,8,8,87,6,1,1.900657781,1,2,369,10.4307318,13.28225228
54,4,30,10,2,53,6,2,0.894427191,2,4,370,12.88132949,20.88692858
57,4,30,10,4,5,6,5,-0.782623792,6,11,371,5.209530625,17.44147971
45,4,30,9,6,81,7,1,0.970725343,1,2,372,9.192511893,11.70553174
48,4,30,9,5,102,7,1,0.970725343,1,2,373,15.46374178,19.69117062
