season,week,n_contestants_rank,rho_rank,p_value_rank,n_contestants_share,rho_share,p_value_share,diff
20,8,6,0.9856107606091624,0.0003090856678496655,6,1.0,0.0,0.014389239390837583
20,9,4,0.632455532033676,0.367544467966324,4,0.39999999999999997,0.6,-0.23245553203367603
21,1,13,0.9656130180306802,8.883748294029092e-08,13,0.967032967032967,7.064113887175154e-08,0.0014199490022868133
21,2,13,0.8626373626373626,0.00014744785947619764,13,0.9340659340659341,2.998703750099579e-06,0.07142857142857151
21,3,10,0.8414790579803637,0.002271043198131101,10,0.8424242424242423,0.0022200312259168407,0.0009451844438785884
21,4,10,0.8909090909090909,0.0005421442248338665,10,0.9030303030303028,0.00034361219776328223,0.012121212121211977
21,5,9,0.7647328842025762,0.016377691486705537,9,0.5833333333333334,0.09918581647988323,-0.18139955086924286
21,6,9,0.8954053273686235,0.0010985258735882698,9,0.7999999999999999,0.00962792472537983,-0.09540532736862362
21,7,8,0.8742671711966791,0.004512385603651026,8,0.5952380952380953,0.11952980613879262,-0.2790290759585837
21,8,7,0.7500000000000002,0.05218140045705776,7,0.9285714285714288,0.0025194724037946874,0.1785714285714286
21,9,6,0.8804062740424288,0.02059873477492037,6,0.4285714285714286,0.39650145772594736,-0.45183484547100017
21,10,4,-0.7999999999999999,0.20000000000000007,4,-0.39999999999999997,0.6,0.39999999999999997
21,11,4,0.316227766016838,0.683772233983162,4,0.39999999999999997,0.6,0.08377223398316197
22,1,12,0.7832167832167832,0.0025862148333625915,12,0.8741258741258742,0.00020071307332423193,0.09090909090909094
22,2,12,0.8963217727768591,7.909099576093359e-05,12,0.9300699300699302,1.1702227928659668e-05,0.033748157293071124
22,3,11,0.9454545454545454,1.118303770149319e-05,11,0.9090909090909091,0.00010559337630360869,-0.036363636363636376
22,4,10,0.8875420937728943,0.0006096659573243205,10,0.9030303030303028,0.00034361219776328223,0.01548820925740857
22,5,9,0.903773601456181,0.0008274112226859528,9,0.7333333333333334,0.02455415007146968,-0.17044026812284763
22,6,9,0.9288784237188525,0.0002945257641989606,9,0.9,0.0009430623223403293,-0.02887842371885252
22,7,8,0.8916309815169778,0.002928680906134816,8,0.5952380952380953,0.11952980613879262,-0.2963928862788825
22,8,6,0.9276336570439174,0.007665844187473182,6,0.8857142857142858,0.01884548104956266,-0.04191937132963164
22,9,5,0.8944271909999159,0.040519326353834,5,0.7,0.1881204043741873,-0.1944271909999159
23,1,13,0.796146271686748,0.0011292395080601965,13,0.8351648351648352,0.00038020808018512014,0.03901856347808719
23,2,13,0.8374687425355412,0.00035353511133615485,13,0.8571428571428571,0.0001809340887252406,0.01967411460731594
23,3,12,0.9720279720279721,1.2868115751495013e-07,12,0.9580419580419581,9.543581826838402e-07,-0.013986013986013957
23,4,11,0.8929408132532823,0.00021517143044230894,11,0.9,0.00015997142806871369,0.007059186746717683
23,5,9,0.6610936529170212,0.05252286046708899,9,0.6333333333333333,0.06708578689234565,-0.027760319583687854
23,6,9,0.6333333333333333,0.06708578689234565,9,0.7999999999999999,0.00962792472537983,0.16666666666666663
23,7,8,0.7619047619047621,0.028004939153071794,8,0.7857142857142858,0.020815127253525276,0.023809523809523725
23,8,7,0.5585812268712466,0.19245253188052203,7,0.9285714285714288,0.0025194724037946874,0.36999020170018226
23,9,6,0.48571428571428577,0.32872303206997094,6,0.5428571428571429,0.26570262390670557,0.05714285714285716
23,10,5,0.8944271909999159,0.040519326353834,5,0.09999999999999999,0.8728885715695383,-0.7944271909999159
23,11,4,0.316227766016838,0.683772233983162,4,0.19999999999999998,0.8,-0.11622776601683801
24,1,12,0.9440559440559443,3.927261080965945e-06,12,0.8811188811188813,0.00015267406467669873,-0.06293706293706303
24,2,12,0.8741258741258742,0.00020071307332423193,12,0.8391608391608393,0.0006428259886278202,-0.03496503496503489
24,3,11,0.8656058903985898,0.0005746337965529316,11,0.6727272727272727,0.023313039833185972,-0.1928786176713171
24,4,10,0.9019083851355777,0.00035929045438835643,10,0.9515151515151514,2.279854920641689e-05,0.04960676637957373
24,5,9,0.6778302010921357,0.04480926269300501,9,0.8833333333333333,0.0015905004234978686,0.20550313224119765
24,6,8,0.7152697513290863,0.04608686981383742,8,0.8571428571428572,0.006530017254715292,0.14187310581377088
24,7,7,0.8829187134416479,0.008450342381896611,7,0.8571428571428573,0.01369732661532562,-0.025775856298790534
24,8,5,0.8207826816681234,0.08858700531354378,5,0.7,0.1881204043741873,-0.12078268166812345
24,9,4,0.632455532033676,0.367544467966324,4,0.7999999999999999,0.20000000000000007,0.16754446796632394
25,1,13,0.8461538461538461,0.00026601205575225274,13,0.7912087912087913,0.0012750239017411194,-0.05494505494505486
25,2,13,0.8800075339849788,7.258009693215805e-05,13,0.8846153846153846,5.9057452171910124e-05,0.0046078506304058076
25,3,11,0.8454545454545455,0.0010451821458586869,11,0.9090909090909091,0.00010559337630360869,0.0636363636363636
25,4,11,0.9454545454545454,1.118303770149319e-05,11,0.9545454545454546,4.988898739949763e-06,0.00909090909090915
25,5,10,0.7477238187264794,0.012899731006897746,10,0.9151515151515152,0.0002044724061488323,0.16742769642503574
25,6,9,0.9833333333333333,1.9361963037459243e-06,9,0.5166666666666667,0.1543901209862251,-0.46666666666666656
25,7,8,0.7857142857142858,0.020815127253525276,8,0.7857142857142858,0.020815127253525276,0.0
25,8,6,0.8804062740424288,0.02059873477492037,6,1.0,0.0,0.11959372595757123
